语种,语种（英文）,优先级,,,,,,,,,,,,,,,,,
英语（美国）,English (US),P0,,,,,,,,,,,,,,,,,
中文（普通话，简体）,"Chinese (Mandarin, Simplified)",P0,,,,,,,,,,,,,,,,,
日语（日本）,Japanese (Japan),P0,,,,,,,,,,,,,,,,,
西班牙语（美国）,Spanish (US),P1,,,,,,,,,,,,,,,,,
泰语（泰国）,Thai (Thailand),P1,,,,,,,,,,,,,,,,,
中文（粤语，繁体）,"Chinese (Cantonese, Traditional)",P1,,,,,,,,,,,,,,,,,
中文（台湾普通话，繁体）,"Chinese (Taiwan Mandarin, Traditional)",P1,,,,,,,,,,,,,,,,,
德语（德国）,German (Germany),P2,,,,,,,,,,,,,,,,,
法语（法国）,French (France),P2,,,,,,,,,,,,,,,,,
意大利语（意大利）,Italian (Italy),P2,,,,,,,,,,,,,,,,,
韩语（韩国),Korean (South Korea),P2,,,,,,,,,,,,,,,,,
俄语（俄罗斯）,Russian (Russia),P2,,,,,,,,,,,,,,,,,
南非荷兰语（南非）,Afrikaans (South Africa),P3,,,,,,,,,,,,,,,,,
阿姆哈拉语（埃塞俄比亚）,Amharic (Ethiopia),P3,,,,,,,,,,,,,,,,,
阿拉伯语（阿拉伯联合酋长国）,Arabic (United Arab Emirates),P3,,,,,,,,,,,,,,,,,
阿拉伯语（巴林）,Arabic (Bahrain),P3,,,,,,,,,,,,,,,,,
阿拉伯语（阿尔及利亚）,Arabic (Algeria),P3,,,,,,,,,,,,,,,,,
阿拉伯语（埃及）,Arabic (Egypt),P3,,,,,,,,,,,,,,,,,
阿拉伯语（以色列）,Arabic (Israel),P3,,,,,,,,,,,,,,,,,
阿拉伯语（伊拉克）,Arabic (Iraq),P3,,,,,,,,,,,,,,,,,
阿拉伯语（约旦）,Arabic (Jordan),P3,,,,,,,,,,,,,,,,,
阿拉伯语（科威特）,Arabic (Kuwait),P3,,,,,,,,,,,,,,,,,
阿拉伯语（黎巴嫩）,Arabic (Lebanon),P3,,,,,,,,,,,,,,,,,
阿拉伯语（利比亚）,Arabic (Libya),P3,,,,,,,,,,,,,,,,,
阿拉伯语（摩洛哥）,Arabic (Morocco),P3,,,,,,,,,,,,,,,,,
阿拉伯语（阿曼）,Arabic (Oman),P3,,,,,,,,,,,,,,,,,
阿拉伯语（巴勒斯坦民族权利机构）,Arabic (Palestinian Authority),P3,,,,,,,,,,,,,,,,,
阿拉伯语（卡塔尔）,Arabic (Qatar),P3,,,,,,,,,,,,,,,,,
阿拉伯语（沙特阿拉伯）,Arabic (Saudi Arabia),P3,,,,,,,,,,,,,,,,,
阿拉伯语（叙利亚）,Arabic (Syria),P3,,,,,,,,,,,,,,,,,
阿拉伯语（突尼斯）,Arabic (Tunisia),P3,,,,,,,,,,,,,,,,,
阿拉伯语（也门）,Arabic (Yemen),P3,,,,,,,,,,,,,,,,,
阿萨姆语（印度）,Assamese (India),P3,,,,,,,,,,,,,,,,,
阿塞拜疆语（拉丁语，阿塞拜疆）,"Azerbaijani (Latin, Azerbaijan)",P3,,,,,,,,,,,,,,,,,
保加利亚语（保加利亚）,Bulgarian (Bulgaria),P3,,,,,,,,,,,,,,,,,
孟加拉语（印度）,Bengali (India),P3,,,,,,,,,,,,,,,,,
波斯尼亚语（波斯尼亚和黑塞哥维那）,Bosnian (Bosnia and Herzegovina),P3,,,,,,,,,,,,,,,,,
加泰罗尼亚语,Catalan,P3,,,,,,,,,,,,,,,,,
捷克语(捷克),Czech (Czech Republic),P3,,,,,,,,,,,,,,,,,
威尔士语（英国）,Welsh (United Kingdom),P3,,,,,,,,,,,,,,,,,
丹麦语（丹麦）,Danish (Denmark),P3,,,,,,,,,,,,,,,,,
德语（奥地利）,German (Austria),P3,,,,,,,,,,,,,,,,,
德语（瑞士）,German (Switzerland),P3,,,,,,,,,,,,,,,,,
希腊语（希腊）,Greek (Greece),P3,,,,,,,,,,,,,,,,,
英语（澳大利亚）,English (Australia),P3,,,,,,,,,,,,,,,,,
英语（加拿大）,English (Canada),P3,,,,,,,,,,,,,,,,,
英语（英国）,English (United Kingdom),P3,,,,,,,,,,,,,,,,,
英语（加纳）,English (Ghana),P3,,,,,,,,,,,,,,,,,
英语（香港特別行政区）,English (Hong Kong SAR),P3,,,,,,,,,,,,,,,,,
英语（爱尔兰）,English (Ireland),P3,,,,,,,,,,,,,,,,,
英语（印度）,English (India),P3,,,,,,,,,,,,,,,,,
英语（肯尼亚）,English (Kenya),P3,,,,,,,,,,,,,,,,,
英语（尼日利亚）,English (Nigeria),P3,,,,,,,,,,,,,,,,,
英语（新西兰）,English (New Zealand),P3,,,,,,,,,,,,,,,,,
英语（菲律宾）,English (Philippines),P3,,,,,,,,,,,,,,,,,
英语（新加坡）,English (Singapore),P3,,,,,,,,,,,,,,,,,
英语（坦桑尼亚）,English (Tanzania),P3,,,,,,,,,,,,,,,,,
英语（南非）,English (South Africa),P3,,,,,,,,,,,,,,,,,
西班牙语（阿根廷）,Spanish (Argentina),P3,,,,,,,,,,,,,,,,,
西班牙语（玻利维亚）,Spanish (Bolivia),P3,,,,,,,,,,,,,,,,,
西班牙语（智利）,Spanish (Chile),P3,,,,,,,,,,,,,,,,,
西班牙语（哥伦比亚）,Spanish (Colombia),P3,,,,,,,,,,,,,,,,,
西班牙语（哥斯达黎加）,Spanish (Costa Rica),P3,,,,,,,,,,,,,,,,,
西班牙语（古巴）,Spanish (Cuba),P3,,,,,,,,,,,,,,,,,
西班牙语（多米尼加共和国）,Spanish (Dominican Republic),P3,,,,,,,,,,,,,,,,,
西班牙语（厄瓜多尔）,Spanish (Ecuador),P3,,,,,,,,,,,,,,,,,
西班牙语（西班牙）,Spanish (Spain),P3,,,,,,,,,,,,,,,,,
西班牙语（赤道几内亚）,Spanish (Equatorial Guinea),P3,,,,,,,,,,,,,,,,,
西班牙语（危地马拉）,Spanish (Guatemala),P3,,,,,,,,,,,,,,,,,
西班牙语（洪都拉斯）,Spanish (Honduras),P3,,,,,,,,,,,,,,,,,
西班牙语（墨西哥）,Spanish (Mexico),P3,,,,,,,,,,,,,,,,,
西班牙（尼加拉瓜）,Spanish (Nicaragua),P3,,,,,,,,,,,,,,,,,
西班牙语（巴拿马）,Spanish (Panama),P3,,,,,,,,,,,,,,,,,
西班牙语（秘鲁）,Spanish (Peru),P3,,,,,,,,,,,,,,,,,
西班牙语（波多黎各）,Spanish (Puerto Rico),P3,,,,,,,,,,,,,,,,,
西班牙语（巴拉圭）,Spanish (Paraguay),P3,,,,,,,,,,,,,,,,,
西班牙语（萨尔瓦多）,Spanish (El Salvador),P3,,,,,,,,,,,,,,,,,
西班牙语（乌拉圭）,Spanish (Uruguay),P3,,,,,,,,,,,,,,,,,
西班牙语（委内瑞拉）,Spanish (Venezuela),P3,,,,,,,,,,,,,,,,,
爱沙尼亚语（爱沙尼亚）,Estonian (Estonia),P3,,,,,,,,,,,,,,,,,
巴斯克语,Basque,P3,,,,,,,,,,,,,,,,,
波斯语（伊朗）,Persian (Iran),P3,,,,,,,,,,,,,,,,,
芬兰语（芬兰）,Finnish (Finland),P3,,,,,,,,,,,,,,,,,
菲律宾语（菲律宾）,Filipino (Philippines),P3,,,,,,,,,,,,,,,,,
法语（比利时）,French (Belgium),P3,,,,,,,,,,,,,,,,,
法语（加拿大）,French (Canada),P3,,,,,,,,,,,,,,,,,
法语（瑞士）,French (Switzerland),P3,,,,,,,,,,,,,,,,,
爱尔兰语（爱尔兰）,Irish (Ireland),P3,,,,,,,,,,,,,,,,,
加利西亚语,Galician,P3,,,,,,,,,,,,,,,,,
古吉拉特语（印度）,Gujarati (India),P3,,,,,,,,,,,,,,,,,
希伯来语（以色列）,Hebrew (Israel),P3,,,,,,,,,,,,,,,,,
印地语（印度）,Hindi (India),P3,,,,,,,,,,,,,,,,,
克罗地亚语（克罗地亚）,Croatian (Croatia),P3,,,,,,,,,,,,,,,,,
匈牙利语（匈牙利）,Hungarian (Hungary),P3,,,,,,,,,,,,,,,,,
亚美尼亚语（亚美尼亚）,Armenian (Armenia),P3,,,,,,,,,,,,,,,,,
印度尼西亚语（印度尼西亚）,Indonesian (Indonesia),P3,,,,,,,,,,,,,,,,,
冰岛语（冰岛）,Icelandic (Iceland),P3,,,,,,,,,,,,,,,,,
意大利语（瑞士）,Italian (Switzerland),P3,,,,,,,,,,,,,,,,,
爪哇语(拉丁语、印度尼西亚),"Javanese (Latin, Indonesia)",P3,,,,,,,,,,,,,,,,,
格鲁吉亚语（格鲁吉亚）,Georgian (Georgia),P3,,,,,,,,,,,,,,,,,
哈萨克语（哈萨克斯坦）,Kazakh (Kazakhstan),P3,,,,,,,,,,,,,,,,,
高棉语（柬埔寨）,Khmer (Cambodia),P3,,,,,,,,,,,,,,,,,
卡纳达语（印度）,Kannada (India),P3,,,,,,,,,,,,,,,,,
老挝语（老挝）,Lao (Laos),P3,,,,,,,,,,,,,,,,,
立陶宛语（立陶宛）,Lithuanian (Lithuania),P3,,,,,,,,,,,,,,,,,
拉脱维亚语（拉脱维亚）,Latvian (Latvia),P3,,,,,,,,,,,,,,,,,
马其顿语（北马其顿）,Macedonian (North Macedonia),P3,,,,,,,,,,,,,,,,,
马拉雅拉姆语（印度）,Malayalam (India),P3,,,,,,,,,,,,,,,,,
蒙古语（蒙古）,Mongolian (Mongolia),P3,,,,,,,,,,,,,,,,,
马拉地语（印度）,Marathi (India),P3,,,,,,,,,,,,,,,,,
马来语（马来西亚）,Malay (Malaysia),P3,,,,,,,,,,,,,,,,,
马耳他语（马耳他）,Maltese (Malta),P3,,,,,,,,,,,,,,,,,
缅甸语(缅甸),Burmese (Myanmar),P3,,,,,,,,,,,,,,,,,
书面挪威语（挪威）,Bokmål Norwegian (Norway),P3,,,,,,,,,,,,,,,,,
尼泊尔语（尼泊尔）,Nepali (Nepal),P3,,,,,,,,,,,,,,,,,
荷兰语（比利时）,Dutch (Belgium),P3,,,,,,,,,,,,,,,,,
荷兰语（荷兰）,Dutch (Netherlands),P3,,,,,,,,,,,,,,,,,
奥里亚语（印度）,Odia (India),P3,,,,,,,,,,,,,,,,,
旁遮普语（印度）,Punjabi (India),P3,,,,,,,,,,,,,,,,,
波兰语（波兰）,Polish (Poland),P3,,,,,,,,,,,,,,,,,
普什图语（阿富汗）,Pashto (Afghanistan),P3,,,,,,,,,,,,,,,,,
葡萄牙语（巴西）,Portuguese (Brazil),P3,,,,,,,,,,,,,,,,,
葡萄牙语(葡萄牙),Portuguese (Portugal),P3,,,,,,,,,,,,,,,,,
罗马尼亚语（罗马尼亚）,Romanian (Romania),P3,,,,,,,,,,,,,,,,,
僧伽罗语（斯里兰卡）,Sinhala (Sri Lanka),P3,,,,,,,,,,,,,,,,,
斯洛伐克语（斯洛伐克）,Slovak (Slovakia),P3,,,,,,,,,,,,,,,,,
斯洛文尼亚语（斯洛文尼亚）,Slovenian (Slovenia),P3,,,,,,,,,,,,,,,,,
索马里语（索马里）,Somali (Somalia),P3,,,,,,,,,,,,,,,,,
阿尔巴尼亚语（阿尔巴尼亚）,Albanian (Albania),P3,,,,,,,,,,,,,,,,,
塞尔维亚语（西里尔文，塞尔维亚）,"Serbian (Cyrillic, Serbia)",P3,,,,,,,,,,,,,,,,,
瑞典语（瑞典）,Swedish (Sweden),P3,,,,,,,,,,,,,,,,,
斯瓦希里语（肯尼亚）,Swahili (Kenya),P3,,,,,,,,,,,,,,,,,
斯瓦希里语（坦桑尼亚）,Swahili (Tanzania),P3,,,,,,,,,,,,,,,,,
泰米尔语（印度）,Tamil (India),P3,,,,,,,,,,,,,,,,,
泰卢固语（印度）,Telugu (India),P3,,,,,,,,,,,,,,,,,
土耳其语 (Türkiye),Turkish (Turkey),P3,,,,,,,,,,,,,,,,,
乌克兰语（乌克兰）,Ukrainian (Ukraine),P3,,,,,,,,,,,,,,,,,
乌尔都语（印度）,Urdu (India),P3,,,,,,,,,,,,,,,,,
乌兹别克语（拉丁语、乌兹别克斯坦）,"Uzbek (Latin, Uzbekistan)",P3,,,,,,,,,,,,,,,,,
越南语（越南）,Vietnamese (Vietnam),P3,,,,,,,,,,,,,,,,,
中文（吴语，简体）,"Chinese (Wu, Simplified)",P3,,,,,,,,,,,,,,,,,
中文（粤语，简体）,"Chinese (Cantonese, Simplified)",P3,,,,,,,,,,,,,,,,,
中文（冀鲁官话，简体）,"Chinese (Jilu Mandarin, Simplified)",P3,,,,,,,,,,,,,,,,,
中文（西南普通话，简体）,"Chinese (Southwestern Mandarin, Simplified)",P3,,,,,,,,,,,,,,,,,
祖鲁语（南非）,Zulu (South Africa),P3,,,,,,,,,,,,,,,,,